source_name,source_link,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,country_name,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,Date,Time,year,month
Dawn,https://www.dawn.com/news/1316412/passengers-stranded-as-landslide-blocks-road-in-shangla,1km,landslide,rain,small,above_road,0.0,0.0,,,,,,,72.79989006,34.89483946,2017-02-22,22:45:00,2017,2
ReliefWeb,https://reliefweb.int/report/pakistan/pakistan-pdma-kp-special-report-avalanchelandslide-incidents-district-chital-period,5km,landslide,rain,unknown,natural_slope,7.0,7.0,,,,,,,71.786687,35.378269,2017-02-18,20:51:00,2017,2
Chandigarh Metro,https://chandigarhmetro.com/yes-landslide-chandigarh-shimla-highway-horryfying-pictures/,1km,rock_fall,downpour,small,above_road,0.0,3.0,,,,,,,77.00009329,30.8754355,2017-01-26,19:15:00,2017,1
Kashmir Times,http://www.kashmirtimes.in/newsdet.aspx?q=66007,5km,landslide,rain,medium,unknown,0.0,5.0,,,,,,,74.24641226,34.58916028,2017-04-18,14:28:00,2017,4
Dailyhunt,http://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/landslide+at+jammu+srinagar+national+highway-newsid-66520969,10km,rock_fall,rain,small,above_road,0.0,0.0,,,,,,,75.44618906,33.1292173,2017-04-16,13:34:00,2017,4
Tribal News Network,http://www.radiotnn.com/four-laborers-die-as-mudslide-caves-in-in-hangu/,5km,landslide,construction,medium,,4.0,0.0,,,,,,,70.760821,33.365952,2016-11-16,15:00:00,2016,11
Daily Excelsior,http://www.dailyexcelsior.com/batote-kishtwar-nh-closed-for-3rd-day/,10km,landslide,snowfall_snowmelt,medium,above_road,0.0,0.0,,,,,,,75.796448,33.220138,2017-03-19,15:55:00,2017,3
Greater Kashmir,http://www.greaterkashmir.com/news/pir-panjal/story/242192.html,5km,rock_fall,rain,medium,above_road,0.0,0.0,,,,,,,75.81055668,33.17580726,2017-02-25,20:30:00,2017,2
The Times of India,http://timesofindia.indiatimes.com/city/dehradun/soldier-killed-in-j-k-landslide-cremated-with-military-honours/articleshow/56188668.cms,1km,landslide,unknown,unknown,unknown,1.0,0.0,,,,,,,75.19067397,33.43537575,2016-12-26,16:02:00,2016,12
Dailyhunt,http://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/landslide+at+jammu+srinagar+national+highway-newsid-66520969,1km,landslide,rain,medium,above_road,0.0,0.0,,,,,,,75.81088889,33.17598419,2017-04-15,13:34:00,2017,4
Early Times,http://www.earlytimes.in/newsdet.aspx?q=200507,1km,rock_fall,rain,small,above_road,1.0,0.0,,,,,,,75.19427899,32.99132221,2017-04-12,13:34:00,2017,4
Greater Kashmir,http://www.greaterkashmir.com/news/kashmir/one-way-traffic-on-jammu-srinagar-highway/242344.html,100km,landslide,snowfall_snowmelt,unknown,above_road,0.0,0.0,,,,,,,75.19440189,33.37197314,2017-02-27,19:45:00,2017,2
Kashmir Life,http://kashmirlife.net/kishtwar-landslide-kills-two-labourers-123427/,5km,rock_fall,construction,small,natural_slope,2.0,0.0,,,,,,,75.730159,32.83198,2016-11-10,15:00:00,2016,11
Times of India,http://timesofindia.indiatimes.com/city/shimla/heavy-snowfall-damage-road-on-kunzum-pass/articleshow/58451196.cms?,50km,landslide,snowfall_snowmelt,small,above_road,0.0,0.0,,,,,,,77.60234008,32.3071683,2017-04-30,13:17:00,2017,4
Dawn,https://www.dawn.com/news/1329757/landslide-kills-two-labourers-in-shangla,50km,landslide,rain,medium,engineered_slope,2.0,1.0,,,,,,,72.75163388,34.91321927,2017-04-27,13:17:00,2017,4
The New Indian Express,http://www.newindianexpress.com/nation/2017/jan/27/fresh-avalanches-in-jammu--kashmir-toll-rises-to-20-1564077.html,1km,snow_avalanche,snowfall_snowmelt,medium,natural_slope,10.0,7.0,,,,,,,74.77415081,34.63639,2017-01-25,19:44:00,2017,1
Dailyhunt,http://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/landslide+at+jammu+srinagar+national+highway-newsid-66520969,10km,rock_fall,rain,small,above_road,0.0,0.0,,,,,,,75.44618906,33.1292173,2017-04-16,13:34:00,2017,4
Hindustan Times,http://www.hindustantimes.com/india-news/sinking-sliding-land-in-budgam-triggers-migration/article1-1332899.aspx,10km,landslide,continuous_rain,medium,unknown,0.0,0.0,,,,,,,74.76317443,33.85483981,2015-03-30,00:00:00,2015,3
Khurki,http://khurki.net/himachal-manali-keylong-highway/,5km,landslide,snowfall_snowmelt,small,above_road,0.0,0.0,,,,,,,77.22157675,32.34193603,2017-05-05,13:22:00,2017,5
State Times,http://news.statetimes.in/fresh-landslide-shuts-batote-doda-kishtwar-highway/,1km,landslide,unknown,medium,above_road,0.0,0.0,,,,,,,75.80786093,33.18025403,2017-03-30,16:36:00,2017,3
India Today in,http://indiatoday.intoday.in/story/jammu-srinagar-highway-closed-fourth-day-landslides-snowfall/1/875629.html,10km,landslide,snowfall_snowmelt,medium,above_road,0.0,0.0,,,,,,,75.17529327,33.27070612,2017-02-04,21:44:00,2017,2
Pakistan Kakhuda Hafiz,http://www.pakistankakhudahafiz.com/gilgit-cut-off-due-landsliding-mudflow/,1km,landslide,rain,small,above_road,0.0,0.0,,,,,,,73.27650031,35.4781125,2017-04-22,17:55:00,2017,4
